FAILED No feasible trial completed. Inspect study.trials user_attrs for reasons; adjust the parameter ranges, training budget or explicit constraints.
seconds 71.01159332999987
21 PRUNED {'cpi': 54.02979527294289, 'relative_tail_max_error': 0.15324679762337373, 'command_overshoot': 252.14589230999115, 'command_settling_time': None} {'config.gamma': 0.9140168399235827, 'config.gamma_rls': 0.9937980622572293, 'config.phi_init': 1.0243390718296577, 'config.policy_eval_every': 90}
22 PRUNED {'cpi': 59.26775011564829, 'relative_tail_max_error': 0.09288906757961296, 'command_overshoot': 260.0824064870548, 'command_settling_time': None} {'config.gamma': 0.9219200889170514, 'config.gamma_rls': 0.9925580795732215, 'config.phi_init': 26.741812440620965, 'config.policy_eval_every': 100}
23 PRUNED {'cpi': 55.38704131483724, 'relative_tail_max_error': 0.1581638264406579, 'command_overshoot': 259.83479886304025, 'command_settling_time': None} {'config.gamma': 0.9146648731548681, 'config.gamma_rls': 0.990159164020862, 'config.phi_init': 298.19565412855144, 'config.policy_eval_every': 90}
24 PRUNED {'cpi': 57.11547899561856, 'relative_tail_max_error': 0.011507811831941108, 'command_overshoot': 247.16014387059568, 'command_settling_time': 8.86} {'config.gamma': 0.9004405950514792, 'config.gamma_rls': 0.9975231005603156, 'config.phi_init': 3.1404682326471804, 'config.policy_eval_every': 80}
25 PRUNED {'cpi': 59.90763393423256, 'relative_tail_max_error': 0.012731159247382759, 'command_overshoot': 263.81550947298024, 'command_settling_time': 8.88} {'config.gamma': 0.9412791260478502, 'config.gamma_rls': 0.9994512723077513, 'config.phi_init': 9900.95613154669, 'config.policy_eval_every': 80}
26 PRUNED {'cpi': 29.041448142944276, 'relative_tail_max_error': 0.055759880121508724, 'command_overshoot': 121.80233289322375, 'command_settling_time': None} {'config.gamma': 0.9216986238173166, 'config.gamma_rls': 0.9936067919700555, 'config.phi_init': 1303.3880209826357, 'config.policy_eval_every': 20}
27 PRUNED {'cpi': 55.95783897262438, 'relative_tail_max_error': 0.19856493491874924, 'command_overshoot': 266.7295487321266, 'command_settling_time': None} {'config.gamma': 0.9523575431632357, 'config.gamma_rls': 0.9982623110587154, 'config.phi_init': 57.96215521814155, 'config.policy_eval_every': 90}
28 PRUNED {'cpi': 55.75459461996698, 'relative_tail_max_error': 0.0501424094024982, 'command_overshoot': 266.2244642578637, 'command_settling_time': 10.84} {'config.gamma': 0.9332886884804363, 'config.gamma_rls': 0.99273401990435, 'config.phi_init': 3919.1606617531347, 'config.policy_eval_every': 60}
29 PRUNED {'cpi': 62.1784729468448, 'relative_tail_max_error': 0.15019204658224963, 'command_overshoot': 280.3184035097239, 'command_settling_time': None} {'config.gamma': 0.988328070180193, 'config.gamma_rls': 0.9970651603155865, 'config.phi_init': 2.5323102876835692, 'config.policy_eval_every': 100}
30 PRUNED {'cpi': 56.35619826341038, 'relative_tail_max_error': 0.07591061084192377, 'command_overshoot': 273.632393765928, 'command_settling_time': None} {'config.gamma': 0.9692195253633565, 'config.gamma_rls': 0.9945460800770286, 'config.phi_init': 543.8100332730454, 'config.policy_eval_every': 50}
31 PRUNED {'cpi': 60.23567617198906, 'relative_tail_max_error': 0.12166917150400375, 'command_overshoot': 267.62155456651277, 'command_settling_time': None} {'config.gamma': 0.9580671320842581, 'config.gamma_rls': 0.9994320637133742, 'config.phi_init': 1.1483779539258276, 'config.policy_eval_every': 100}
32 PRUNED {'cpi': 56.051512248213655, 'relative_tail_max_error': 0.20167398313556556, 'command_overshoot': 267.5594263268864, 'command_settling_time': None} {'config.gamma': 0.955094400532627, 'config.gamma_rls': 0.9958540639491104, 'config.phi_init': 8.062057699328678, 'config.policy_eval_every': 90}
33 PRUNED {'cpi': 59.607861972527715, 'relative_tail_max_error': 0.09828074999582737, 'command_overshoot': 262.3488683142396, 'command_settling_time': None} {'config.gamma': 0.9278518861684639, 'config.gamma_rls': 0.9918801187736787, 'config.phi_init': 12.276876563962348, 'config.policy_eval_every': 100}
34 PRUNED {'cpi': 61.165541357799114, 'relative_tail_max_error': 0.054986289626347155, 'command_overshoot': 276.22274263223477, 'command_settling_time': None} {'config.gamma': 0.9778836398749333, 'config.gamma_rls': 0.9980630903662449, 'config.phi_init': 4.72579521465615, 'config.policy_eval_every': 80}
